City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,23.980000000000018,93,56,1.79,EC,1717281649
1,albany,42.6001,-73.9662,24.54000000000002,58,20,2.95,US,1717281649
2,praia da vitoria,38.7333,-27.0667,19.860000000000014,88,20,4.42,PT,1717281649
3,port-aux-francais,-49.35,70.2167,1.9300000000000068,70,11,20.83,TF,1717281650
4,grytviken,-54.2811,-36.5092,-3.75,82,18,4.66,GS,1717281650
5,tura,25.5198,90.2201,23.860000000000014,96,36,1.86,IN,1717281650
6,adamstown,-25.066,-130.1015,21.25,72,32,6.26,PN,1717281650
7,sitka,57.0531,-135.33,10.939999999999998,58,100,5.14,US,1717281650
8,west island,-12.1568,96.8225,26.99000000000001,83,100,6.69,CC,1717281651
9,margaret river,-33.95,115.0667,14.210000000000036,72,84,9.21,AU,1717281651
10,ribeira grande,38.5167,-28.7,19.32000000000005,88,85,3.58,PT,1717281651
11,tiksi,71.6872,128.8694,2.650000000000034,83,48,4.6,RU,1717281651
12,lompoc,34.6391,-120.4579,20.08000000000004,73,20,6.69,US,1717281651
13,yellowknife,62.456,-114.3525,11.29000000000002,46,100,4.92,CA,1717281409
14,teguise,29.0605,-13.564,18.120000000000005,73,20,2.06,ES,1717281652
15,al muwayh,22.4333,41.7583,31.58000000000004,9,98,4.85,SA,1717281652
16,blackmans bay,-43.0167,147.3167,6.960000000000036,82,2,1.61,AU,1717281652
17,aasiaat,68.7098,-52.8699,-0.6099999999999568,73,74,1.19,GL,1717281652
18,moyynkum,44.2914,72.9469,19.03000000000003,36,0,4.16,KZ,1717281653
19,hermanus,-34.4187,19.2345,13.220000000000027,89,74,4.31,ZA,1717281653
20,kailua-kona,19.6406,-155.9956,28.980000000000018,74,0,4.63,US,1717281653
21,hawaiian paradise park,19.5933,-154.9731,26.730000000000018,79,100,5.14,US,1717281653
22,jamestown,42.097,-79.2353,24.80000000000001,25,0,3.6,US,1717281653
23,banikoara,11.2985,2.4386,29.939999999999998,58,59,1.32,BJ,1717281654
24,udachny,66.4167,112.4,6.360000000000014,66,59,4.21,RU,1717281654
25,kampung baharu nilai,2.8033,101.7972,25.939999999999998,94,20,1.03,MY,1717281654
26,susuman,62.7833,148.1667,6.100000000000023,60,39,3.58,RU,1717281654
27,klyuchi,52.2667,79.1667,8.879999999999995,57,90,4.83,RU,1717281655
28,katsuren-haebaru,26.3369,127.8719,22.430000000000007,96,100,2.06,JP,1717281655
29,visegrad,43.7847,19.2992,16.57000000000005,84,100,0.48,BA,1717281655
30,puerto natales,-51.7236,-72.4875,2.090000000000032,97,100,1.13,CL,1717281655
31,las heras,-46.5419,-68.9359,1.740000000000009,86,72,6.62,AR,1717281655
32,avarua,-21.2078,-159.775,24.03000000000003,64,75,2.57,CK,1717281656
33,waitangi,-43.9535,-176.5597,9.900000000000034,68,55,6.71,NZ,1717281656
34,luderitz,-26.6481,15.1594,9.379999999999995,81,0,0.99,NA,1717281612
35,blackwater,-23.5833,148.8833,17.07000000000005,55,9,3.01,AU,1717281656
36,sur,22.5667,59.5289,33.02000000000004,45,0,3.33,OM,1717281656
37,edinburgh of the seven seas,-37.0676,-12.3116,14.650000000000034,90,98,3.66,SH,1717281657
38,corinto,37.9407,22.9573,23.460000000000036,66,0,0.52,GR,1717281657
39,thompson,55.7435,-97.8558,13.090000000000032,54,75,5.14,CA,1717281657
40,santiago de cao,-7.9589,-79.2392,17.689999999999998,85,57,5.26,PE,1717281657
41,vila velha,-20.3297,-40.2925,21.970000000000027,83,75,4.63,BR,1717281657
42,constantia,44.1833,28.65,20.390000000000043,75,64,2.33,RO,1717281658
43,guozhen,34.3659,107.359,16.58000000000004,97,100,1.37,CN,1717281658
44,ushuaia,-54.8,-68.3,1.8100000000000023,75,20,6.69,AR,1717281658
45,tual,-5.6667,132.75,27.960000000000036,81,95,9.72,ID,1717281659
46,college,64.8569,-147.8028,24.140000000000043,27,75,2.57,US,1717281585
47,iqaluit,63.7506,-68.5145,-0.14999999999997726,74,75,7.72,CA,1717281659
48,alenquer,-1.9417,-54.7383,25.24000000000001,92,57,1.52,BR,1717281659
49,gadzhiyevo,69.2551,33.3362,5.180000000000007,94,97,4.33,RU,1717281462
50,guerrero negro,27.9769,-114.0611,19.060000000000002,64,95,9.64,MX,1717281659
51,pandan,14.0453,124.1694,28.920000000000016,77,100,2.11,PH,1717281660
52,el calafate,-50.3408,-72.2768,1.07000000000005,92,89,0.85,AR,1717281660
53,sao joao da barra,-21.6403,-41.0511,20.05000000000001,71,32,5.26,BR,1717281660
54,mkushi,-13.6202,29.3939,16.03000000000003,61,70,2.38,ZM,1717281660
55,solleftea,63.1667,17.2667,20.920000000000016,62,12,3.23,SE,1717281660
56,port elizabeth,-33.918,25.5701,16.160000000000025,94,100,10.8,ZA,1717281661
57,san sebastian de la gomera,28.0916,-17.1133,21.879999999999995,77,0,3.09,ES,1717281661
58,felege neway,6.3,36.8833,19.360000000000014,87,42,1.54,ET,1717281661
59,ust'-kut,56.7938,105.7672,5.240000000000009,94,100,0.89,RU,1717281661
60,grossenhain,51.2833,13.55,16.53000000000003,96,55,2.32,DE,1717281662
61,haiku-pauwela,20.9219,-156.3051,27.360000000000014,71,40,12.86,US,1717281662
62,tahla,34.0485,-4.428,23.600000000000023,42,3,2.37,MA,1717281662
63,tabou,4.423,-7.3528,24.960000000000036,94,100,2.54,CI,1717281662
64,weno,7.4515,151.8468,28.970000000000027,79,100,3.6,FM,1717281662
65,sisimiut,66.9395,-53.6735,-0.6899999999999977,75,80,2.38,GL,1717281663
66,port mathurin,-19.6833,63.4167,24.04000000000002,75,100,8.91,MU,1717281663
67,codrington,-38.2667,141.9667,9.430000000000007,72,14,2.45,AU,1717281663
68,baud,20.8333,84.3167,29.850000000000023,70,76,1.52,IN,1717281504
69,longyearbyen,78.2186,15.6401,2.910000000000025,87,75,1.54,SJ,1717281663
70,port lincoln,-34.7333,135.8667,12.200000000000045,70,13,4.08,AU,1717281664
71,la sarre,48.8002,-79.1996,20.890000000000043,58,100,4.63,CA,1717281664
72,bilibino,68.0546,166.4372,7.5400000000000205,49,6,2.56,RU,1717281664
